store_id,商家名稱,地址,營業電話,營業時間,網址,描述,類別,官方類別_自動,自訂類別,is_active,,,,,,,,,,,,,,id
13,IN GYM 樂康健身俱樂部文山館,116 臺北市文山區景隆街36巷2號2樓,286632618,AM 7:00  -  PM 11:00,https://ingym.com.tw/wen/index_wen.html,本館位於台北市文山區，是一間身處文教區的健身房。有別於一般健身房的昏暗風格，IN GYM將第一間場館設置在四周都是對外落地窗的二樓空間，以450坪的大小來打造寬敞、舒適又明亮的運動環境。場館內設有自由重量訓練區、固定式器材訓練區、多功能綜合訓練區、心肺訓練區以及團體課程教室，提供會員種類多元的訓練器材及空間，營造健康優質的運動環境。 動滋券適用品項：運動場館-健身,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
14,彼拉提斯公司 KX Pilates 內湖店,114 臺北市內湖區成功路四段6號2樓,227929968,早上10點至晚間8點,https://kxpilates.com.tw/,"座落於台北人的後花園，坐擁自然美景依山傍水，鄰近內湖捷運站交通便捷，生活機能優異，KX引進全球流行的動態彼拉提斯核心床訓練，為保障學員上課品質及安全, 課程採一人一床預約制，全課程由KX Academy培訓認證且教學經驗豐富的KX Pilates師資團隊授課，店內提供舒適淋浴間及廁所、置物櫃、吹風機等，讓你輕鬆運動，享受全身性訓練的暢快，邀請您一同感受KX彼拉提斯核心床的魅力！ 動滋券適用品項：運動場館-健身",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
15,戀依佳瑜珈工作室,104 臺北市中山區民權西路70號5樓之1,225216365,週一至週日/07:00-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,戀依佳瑜珈教室是一間在民權西路站旁邊的瑜珈教室，承接各個年齡層的瑜珈練習者。 戀依佳的宗旨就是希望大家能夠快樂的練瑜珈，歡迎初學者與資深練習者們一起練習。 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
16,Waypoint作伙-WP ZouHui,106 臺北市大安區和平東路二段46巷11號1樓,227366027,08:00~20:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,以持續多變(Constantly Varied)、高強度(high Intensity)、實用性動作(Functional Movement)三大原則來帶給您日常生活必備的強健。 動滋券適用品項：運動場館-瑜珈,,運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
17,舞動陽光博愛國小運動中心,110 臺北市信義區安康里松仁路９５巷２０號,287892525,周一至周五>18:00-22:00    周六及周日>08:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,室內溫水游泳池全年對外開放 運動中心內綜合球場可租賃羽球、排球、足球、籃球、桌球與企業運動會、畢業典禮等運動場地租借活動。 動滋券適用品項：,,運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
18,臺北市體育總會武術國術協會,106 臺北市大安區和平東路三段11號B1樓,227062300,0930～1730（星期一～星期五）0900～1200（星期六～星期日）,http://www.wushu.org.tw/,「中華武術研究發展協會&臺北市體育總會武術國術協會&臺北市武術協會聯合辦公室」 這是一個讓所以武術同好們能暢所欲言、相互交流的地方!! 動滋券適用品項：,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
19,ISPORTS愛健身俱樂部,100 臺北市中正區仁愛路一段38號1樓,223939933,12:00~23:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,ISPORTS愛健身俱樂部是新形態精品中型健身房，有別於其他健身房型態！ 我們以用心經營的態度為消費者營造更完善的休閒體驗，讓消費者感受到賓至如歸。 動滋券適用品項：,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
20,Yogiocean,104 臺北市中山區松江路315號4樓,225169991,0900~2100,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
21,諧動健康科技股份有限公司大安分公司,106 臺北市大安區信義路二段７４號１０樓,223569462,08:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,1. 科學化重訓 2. 體態雕塑 3. 功能性訓練 3. 柔軟體操 4. 運動整復 5. 客製化1對1～3課程與小班制團體課以及企業包班 動滋券適用品項：運動場館-健身,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
22,SWeet*慢走體適能,111 臺北市士林區中山北路六段284號,228386603,週一～週五9:00-22:00/週六、日10:00-18:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,您好，我們是Sweet*慢走 慢走提供專業體適能課程 以及其他多元的運動課程 享受運動帶來的身體變化 好的體態陪你活得更有自信 好的身體陪你走過更多精彩 Slowly Walk & Enjoy Every Time 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
